star_rating,review_text,clean_text,vader_compound,vader_label,textblob_polarity,textblob_label,silver_label
5,"Hey Everybody:<br />I just purchased some Of Chowards sented gum recently and I looked all over the Country side for this Gum and it is hard to find in your Local Liquor stores and Mini Marts. I received it within a couple of Days from Amazon.com what a good way to shop. would Highly recommend buying this way. anyway Love the Gum it takes me back to the Younger days when we were doing a Little Parting and didn't want ""Pops"" to know what was going on. I gave some of them to my Co-Workers and they were like taste like Liquorice. It has like a flowery tast to it almost like you can't discribe what is in it till you read the back of the Box.Thank God I found them on Amazon. Oh I actually orderd 2 Cases of them. Thanks GG?",hey everybody purchased chowards sented gum recently looked country side gum hard find local liquor stores mini marts received within couple days amazon com good way shop would highly recommend buying way anyway love gum takes back younger days little parting want pops know going gave co workers like taste like liquorice like flowery tast almost like discribe till read back box thank god found amazon oh actually orderd cases thanks gg,0.9708,positive,0.09006944444444444,positive,positive
2,"I love mudslides (the real ones), but this coffee doesn't come close to what you would expect it to taste like.  There is a detectable coconut flavor (barely), no choclate flavor at all, and a strange aftertaste that really kills the deal for me.  I really like most of Gloria Jean's coffees, but this one is at the bottom of the list for me.",love mudslides real ones coffee come close would expect taste like detectable coconut flavor barely choclate flavor strange aftertaste really kills deal really like gloria jean coffees one bottom list,-0.0543,negative,0.21785714285714283,positive,negative
2,Good soup.  I bought it from Amazon to try out the subscription service.  I was willing to pay a bit more to try it out for the convenience but EVERY single can was dented.  I am not willing to pay more for damaged products and canceled the subscription.,good soup bought amazon try subscription service willing pay bit try convenience every single dented willing pay damaged products canceled subscription,-0.4066,negative,0.2922619047619048,positive,negative
5,These delicious Gluten-free snack bars taste like slightly sweetened nut butter and are chewy and satisfying.  Can even replace a meal in a pinch (especially breakfast).  Taste like a treat but are sound nutrition and free of common allergens.,delicious gluten free snack bars taste like slightly sweetened nut butter chewy satisfying even replace meal pinch especially breakfast taste like treat sound nutrition free common allergens,0.9058,positive,0.2619047619047619,positive,positive
5,"This illy issimo Coffee Drink Caff&egrave; from Coca~Cola / Coke - is really strong, just like a Caff&egrave; or Caf&egrave; Expresso should be: whereas frankly I am surprised it lacks a surname of ""Expresso"" added on to it! It packs a lot of punch into it, so if you are a Caff&egrave; or Caf&egrave; Expresso lover - YOU WILL LOVE THIS no doubts about it. ONLY 50 CALORIES IN A CAN! However the name of Expresso is in tiny print on the back of the can pertaining to the history; but I feel it still should be up front and just under the label. EXPRESSO LOVERS - THIS ONE'S FOR YOU!",illy issimo coffee drink caff egrave coca cola coke really strong like caff egrave caf egrave expresso whereas frankly surprised lacks surname expresso added packs lot punch caff egrave caf egrave expresso lover love doubts calories however name expresso tiny print back pertaining history feel still front label expresso lovers one,0.9518,positive,0.1763888888888889,positive,positive
1,"The description should indicate that this is mostly given as a CHRISTMAS basket. When my grandmother received it she was under the impression that it was the wrong basket or that I was gypped because I mailed this as a Mother's Day gift. She said it looked like a Christmas gift because of the Christmas mugs that were included. I had no idea that Christmas looking mugs were included. If I had known, I would have opted for a more appropriate gift for the occasion. I wanted to return it to resend a different basket but later realized that the item was ineligible to be returned.<br /><br />In addition, although I indicated that this was a gift and wrote a note to be included with the package, Amazon did not include the note and my grandmother had no idea who it was from. I am very unsatisfied with this product and am very unhappy that Mother's Day was somewhat ruined thanks to Amazon's inability to describe this as a Christmas gift or to include the note that I requested.",description indicate mostly given christmas basket grandmother received impression wrong basket gypped mailed mother day gift said looked like christmas gift christmas mugs included idea christmas looking mugs included known would opted appropriate gift occasion wanted return resend different basket later realized item ineligible returned addition although indicated gift wrote note included package amazon include note grandmother idea unsatisfied product unhappy mother day somewhat ruined thanks amazon inability describe christmas gift include note requested,-0.3544,negative,0.06888888888888887,positive,negative
1,I got this for my daughter because she love blood and hot chocolate so I got her this stuff and it was hoirrible it tasted so bad.,got daughter love blood hot chocolate got stuff hoirrible tasted bad,-0.075,negative,0.01666666666666672,abstain,negative
1,"I ordered one of these cases (packages of six) to give as Christmas presents to multiple people.  Sadly, upon arrival, every single individual container was smashed open. The external box was not mangled - I have to believe this was a byproduct of the brittle, thin, flimsy individual plastic containers, in combination with having been shipped along with giant cashew tins in a large box with minimal packing materials. Although I think had the container packaging been sturdier this would not have been a problem. In any event, it was a disappointment that none of the packages arrived intact.",ordered one cases packages six give christmas presents multiple people sadly upon arrival every single individual container smashed open external box mangled believe byproduct brittle thin flimsy individual plastic containers combination shipped along giant cashew tins large box minimal packing materials although think container packaging sturdier would problem event disappointment none packages arrived intact,-0.7906,negative,-0.12142857142857143,negative,negative
1,"This is something you can pick up at wal-mart for 98 cents (I have, unfortunately). It's hotter than most generic hot sauces, but the taste is terrible. It smells like olives (somehow), and gets in the way of the flavor of the food you're putting it on.",something pick wal mart cents unfortunately hotter generic hot sauces taste terrible smells like olives somehow gets way flavor food putting,-0.3818,negative,-0.15,negative,negative
5,"I've had dogs before but they were family dogs so were fed the usual Purina or typical grocery store dog foods.  I recently started fostering a pit bull and was given Science Diet for sensitive stomach formula since she had stomach issues.  I used that and her stool was firm but I decided to put her on this food because price isn't as important as her health right?  In a few weeks her fur is amazingly soft!  Anywhere there is short fur it's like stroking a bunny and in the longer areas it's mostly soft and I can tell the rougher stuff is almost all finally gone.  Even in recent pictures I noticed later how shiny her coat is as well.<br /><br />She loves it, her stomach is doing well, and her fur is amazing.  I can't say much about her attitude though since she's as friendly and happy as usual but pits are like that even coming from the worst situations anyway.  Oh yeah, I adopted her last week so she'll be eating Blue Buffalo for a long time to come.  Thank you, Amazon, for having it Prime eligible so it shows up right away.",dogs family dogs fed usual purina typical grocery store dog foods recently started fostering pit bull given science diet sensitive stomach formula since stomach issues used stool firm decided put food price important health right weeks fur amazingly soft anywhere short fur like stroking bunny longer areas mostly soft tell rougher stuff almost finally gone even recent pictures noticed later shiny coat well loves stomach well fur amazing say much attitude though since friendly happy usual pits like even coming worst situations anyway oh yeah adopted last week eating blue buffalo long time come thank amazon prime eligible shows right away,0.9843,positive,0.04811507936507938,abstain,positive
5,The vendor is fast and dependable. The tea is simply the best way to relax and great tasting too. Highly recommend !!,vendor fast dependable tea simply best way relax great tasting highly recommend,0.939,positive,0.45,positive,positive
1,"just received a case of 12 chicken & brown rice formula...every single can was dented beyond use...this was a problem before and supposedly amazon was to get their shipping problem with this item corrected...it states that this item is not returnable although damaged, i wrote to amazon requesting a return label and credit ...will see what happens...i want to return the case of food so they can see the damage, there were 4 air pillows in the box but they had holes torn in them so they were flat and just laying on top of the food...ordered this product from another website while waiting for amazon to straighten out their shipping problem, the other company sent the order UPS and the case of food was surrounded by the Styrofoam pellets and not a dent one !...UPDATE... Amazon replace order, came UPS this time instead of USPS, air pillows were again torn and flat, but only one can barely dented,...Also, i opened one of the dented cans from the first order, bad smell and food was pulled away from the sides, so take care with dented cans of dog/cat food",received case chicken brown rice formula every single dented beyond use problem supposedly amazon get shipping problem item corrected states item returnable although damaged wrote amazon requesting return label credit see happens want return case food see damage air pillows box holes torn flat laying top food ordered product another website waiting amazon straighten shipping problem company sent order ups case food surrounded styrofoam pellets dent one update amazon replace order came ups time instead usps air pillows torn flat one barely dented also opened one dented cans first order bad smell food pulled away sides take care dented cans dog cat food,-0.7024,negative,-0.07776785714285712,negative,negative
1,"Well what a disappointment...the bags in two of the rolls were just tubes, not bags????  I didn't bother to check out all 120 bags, just tossed the bunch.  Good thing these were for cleaning the cat's litter box, it would have been bad news to have been outdoors ""scooping"" after a dog. Should have returned them but for $7 it was not worth my time.  I will stick to their blue bags.",well disappointment bags two rolls tubes bags bother check bags tossed bunch good thing cleaning cat litter box would bad news outdoors scooping dog returned worth time stick blue bags,-0.2939,negative,-0.03749999999999997,abstain,negative
5,"This KAHLUA flavored coffee in the K-cups by Timothy's World Coffee tastes just like the real thing!  I put a bit of cream in it and it is so yummy!  I love it!<a href=""http://www.amazon.com/gp/product/B002QGK2V8"">Timothy's World Coffee KAHLUA Original, K-Cups for Keurig Brewers, 24-Count K-cups (Pack of 2)</a>",kahlua flavored coffee k cups timothy world coffee tastes like real thing put bit cream yummy love timothy world coffee kahlua original k cups keurig brewers count k cups pack,0.9383,positive,0.3958333333333333,positive,positive
5,"Having traveled to Costa Rica recently, I had this coffee.  It is rich, full bodied and without any bitterness.  Was very pleased to see that I could purchase it on Amazon because I finished the bags of the Cafe 1820 that I brought home with me.  It is excellent! Everyone that I served it to loved it!",traveled costa rica recently coffee rich full bodied without bitterness pleased see could purchase amazon finished bags cafe brought home excellent everyone served loved,0.958,positive,0.5416666666666666,positive,positive
4,"Our son is gluten free.  It took us a few days, but now we all like these O's.  The kids eat them with milk and dry too as a snack.<br /><br />We also feed them to our baby.  They are a bit harder than Cheerios so we have to soak them for a few seconds before we give them to the baby, but they work just fine.",son gluten free took us days like kids eat milk dry snack also feed baby bit harder cheerios soak seconds give baby work fine,0.765,positive,0.041666666666666664,abstain,positive
1,I bought this almond butter from Amazon.  It has a different packaging from the one showed in the picture.  The almond butter doesn't taste like any other almond better I have tried.  I think it's made from peanuts.  There is a bad after taste after eating this - I think it's the palm oil.  Tastes like bad oil.  Very disappointed in this product.  I won't buy it again! Not sure if the product I got is a fake. I will stick to Justins butter which is amazing.,bought almond butter amazon different packaging one showed picture almond butter taste like almond better tried think made peanuts bad taste eating think palm oil tastes like bad oil disappointed product buy sure product got fake stick justins butter amazing,-0.788,negative,-0.24166666666666659,negative,negative
5,"As a diabetic I am always on the look out for low carb snacks.  The dietician limits my carbs for snacks to between 15-30 g. My 100 calorie pack of Emerald Natural Walnuts & Almonds contains only 3g of carbohydrates.  What a satisfying good deal!<br />I understand that most diabetics die from heart disease. The box claims this snack has 740 mg of omega-3 to help protect the heart. Prevention magazine says you probably won't get enough omega 3 from plant sources, but I think it could help.",diabetic always look low carb snacks dietician limits carbs snacks g calorie pack emerald natural walnuts almonds contains g carbohydrates satisfying good deal understand diabetics die heart disease box claims snack mg omega help protect heart prevention magazine says probably get enough omega plant sources think could help,0.9053,positive,0.2571428571428571,positive,positive
2,"It took a very long time for the product to arrive. I am not certain if I had not contacted the seller regarding my missing package, if I ever would have received it. I will not order from this seller again.",took long time product arrive certain contacted seller regarding missing package ever would received order seller,-0.4614,negative,-0.12404761904761906,negative,negative
5,I enjoy the quality of this product and I only hope that I can get it in a bigger container..,enjoy quality product hope get bigger container,0.7269,positive,0.13333333333333333,positive,positive
5,"Have bought several different teas from Davidson's.  All have been good quality and exactly what I expected.  Good price, packaging and products.",bought several different teas davidson good quality exactly expected good price packaging products,0.7269,positive,0.2583333333333333,positive,positive
4,"Quaker Cinnamon Oatmeal Squares are absolutely delicious as a snack right out of the box or as a breakfast cereal with milk.<br /><br />They are sweet, but not too sweet.  There is a hint of cinnamon taste that is very satisfying.<br /><br /> These crunchy little treats are 210 calories per cup, 25 from fat when eaten alone.  Add 25 calories with ½ cup of skim milk. This product is low in sodium and does not have any cholesterol or trans fat.<br /><br />As a diabetic, I am a little concerned about the 9 grams of sugar and 30 grams of carbohydrates per cup; however, compared to a candy bar that I occasionally wolf down, I can live with these tasty morsels.<br /><br />Enjoy!",quaker cinnamon oatmeal squares absolutely delicious snack right box breakfast cereal milk sweet sweet hint cinnamon taste satisfying crunchy little treats calories per cup fat eaten alone add calories cup skim milk product low sodium cholesterol trans fat diabetic little concerned grams sugar grams carbohydrates per cup however compared candy bar occasionally wolf live tasty morsels enjoy,0.1824,positive,0.16596484323757052,positive,positive
5,"Lindt Lindor chocolate is so yummy. There are five flavors that come in this bag; and I would say that there is not one type that is in this bag more than than the others. The flavors are very good. Just as others have explained there is a harder outer chocolate shell with chocolate truffle filling on the inside. One of my favorite flavors- hazelnut- is not included in this bag. However, my second favorite flavor is included in this bag. The white chocolate is very creamy and very smooth and is not a heavy flavor. I really like that flavor. However, all of the ones in this bag are yummy. A great mix and assortment for a party or other special event.",lindt lindor chocolate yummy five flavors come bag would say one type bag others flavors good others explained harder outer chocolate shell chocolate truffle filling inside one favorite flavors hazelnut included bag however second favorite flavor included bag white chocolate creamy smooth heavy flavor really like flavor however ones bag yummy great mix assortment party special event,0.9822,positive,0.3115816326530612,positive,positive
5,"I drink a lot of different green, white and black teas over a variety of price points and I have been very slow to tire of this one.  It remains a favorite of mine after months.",drink lot different green white black teas variety price points slow tire one remains favorite mine months,0.5106,positive,-0.0427777777777778,abstain,positive
2,"I rarely write reviews but wanted to warn others of the affect these lollipops had on me. I've never had any stomach problems and can eat just about anything. However, every time I ate these lollipops, I would get a mild headache and feel nauseous. I really have no idea why but that's exactly what happened. I thought it was a fluke, waited a few days, then tried some more and had the same results. Some reviewers point out the fact that these are made in Mexico and I don't know for sure but wonder if that was part of the problem. Regardless, eat at your own risk.",rarely write reviews wanted warn others affect lollipops never stomach problems eat anything however every time ate lollipops would get mild headache feel nauseous really idea exactly happened thought fluke waited days tried results reviewers point fact made mexico know sure wonder part problem regardless eat risk,-0.9433,negative,0.2759259259259259,positive,negative
5,"I ordered this screen so I can keep my French doors open in the spring and fall without having tons of bugs get in the house.  It truly does install in minutes- just slide the screen onto the tension rod, open your doors and place the rod at the appropriate height for your doors.  The added velcro helps keep the sides in place.  I think that overall the magnets do a great job of keeping the opening closed, but it is a good idea to just make sure it closed properly after you go through the doorway.  No, it doesn't automatically close perfectly without help every single time, but come on people- it is a screen with magnets for less than a hundred bucks- you have to give it credit for doing the intended job so well even if it isn't perfect!<br />For me, the length and width was perfect. I feel like the screen material looks nice and is of good quality, and the opening functions well enough for the purpose.  I think I paid a fair price for a good product that I am getting lots of use out of.  I would purchase this product again, or in different sizes for my other doors.",ordered screen keep french doors open spring fall without tons bugs get house truly install minutes slide screen onto tension rod open doors place rod appropriate height doors added velcro helps keep sides place think overall magnets great job keeping opening closed good idea make sure closed properly go doorway automatically close perfectly without help every single time come people screen magnets less hundred bucks give credit intended job well even perfect length width perfect feel like screen material looks nice good quality opening functions well enough purpose think paid fair price good product getting lots use would purchase product different sizes doors,0.9888,positive,0.30167748917748916,positive,positive
5,"I started taking garden of life extra virgin coconut oil and was extreamly impressed.The product arrived quickly,packaged well.The taste and consistency is superior.I accidentally ordered another brand and it did not come close to this product.This is well worth the money.It is great to cook with,love it on my skin and had the delightful surprise of losing 5 pounds and curbing my appetite!I just ordered another because I do not want to run out.Highly recommend.",started taking garden life extra virgin coconut oil extreamly impressed product arrived quickly packaged well taste consistency superior accidentally ordered another brand come close product well worth money great cook love skin delightful surprise losing pounds curbing appetite ordered another want run highly recommend,0.8903,positive,0.525,positive,positive
5,"My LO was breastfed for the first two months, but then we switched to formula. Everything made him incredibly fussy, and our doctor suggested Nutramigen. It was a miracle worker, and he was happy. He was on this for months, but without a true protein allergy, it was hard to keep paying $63 a week for Nutramigen. We tried every formula on the planet, and this was the only one that worked great. I will say when weaning from one formula to another-- go very slow. I've heard so many different things and that you don't have to go slow, but it's the only way that worked for us. We mixed an ounce or two of the Good Start in with his Nutramigen the first week, the second week did half/half, the third week did mostly Good Start with 1 or 2 ounces of Nutramigen. He never had a problem. I will say, this price is not a very good deal-- I can get it at my local Target or Walmart for $20 a can, and sometimes I can find the 33% more free cans.",lo breastfed first two months switched formula everything made incredibly fussy doctor suggested nutramigen miracle worker happy months without true protein allergy hard keep paying week nutramigen tried every formula planet one worked great say weaning one formula another go slow heard many different things go slow way worked us mixed ounce two good start nutramigen first week second week half half third week mostly good start ounces nutramigen never problem say price good deal get local target walmart sometimes find free cans,0.9805,positive,0.2226864801864802,positive,positive
4,"These gnocchi are good.  The texture is right, a nice balance of springy and fluffy.  (Watch them continuously while they're cooking.  They cook very quickly and can be overcooked easily.)  But of the three packages I've cooked so far, all had a very slight sour taste.  They weren't spoiled in any way, just had a slightly tangy flavor that I don't associate with gnocchi.  It's not noticeable with a red sauce but is with a lighter flavored sauce.  I don't know if this taste is typical of the brand.  I probably won't re-order these because I like dried pasta for tomato sauces, but they are definitely worth trying.",gnocchi good texture right nice balance springy fluffy watch continuously cooking cook quickly overcooked easily three packages cooked far slight sour taste spoiled way slightly tangy flavor associate gnocchi noticeable red sauce lighter flavored sauce know taste typical brand probably order like dried pasta tomato sauces definitely worth trying,0.8957,positive,0.1251700680272109,positive,positive
2,It seems to be no more thirst quenching and refreshing than any other kind of gum.  I used to get a really dry throat when running so I thought I would give this a try.  It didn't help any more than regular gum - And costs a lot more.,seems thirst quenching refreshing kind gum used get really dry throat running thought would give try help regular gum costs lot,-0.5358,negative,0.20729166666666665,positive,negative
5,This product is excellent. I also add a can of Hunts canned chili mix with my lean ground beef. Then I mix the darn good chili with the meat mix. I would recommend this product to anyone who loves good chili.,product excellent also add hunts canned chili mix lean ground beef mix darn good chili meat mix would recommend product anyone loves good chili,0.9403,positive,0.7999999999999999,positive,positive
5,"I love this product!  It is so GOOD and good for you!  My favorite is in some milk.  Oh it tastes so good!  I prefer having it now instead of ice cream! Yummy, yummy, yummy and so good for your liver and other things!<br />The merchant was very fast with shipment too!  A good deal all the way around! (Great for coffee alternative...and how about for the holidays?  There are recipes on the back of package too! I can't wait to try them!!!)",love product good good favorite milk oh tastes good prefer instead ice cream yummy yummy yummy good liver things merchant fast shipment good deal way around great coffee alternative holidays recipes back package wait try,0.9922,positive,0.5704545454545454,positive,positive
5,I love love love this seasoning! I use it for everything and I always order it from Amazon. I have turned it on to all my neighbors and friends. They love it too.,love love love seasoning use everything always order amazon turned neighbors friends love,0.9716,positive,0.53125,positive,positive
5,I love Carb Krunchers Low Carb Cinnamon Raisin Bagels. The is the best bagel I've eat ever. Cinnamon Raisin Bagels is so heavenly delicious. Love them to death!!!,love carb krunchers low carb cinnamon raisin bagels best bagel eat ever cinnamon raisin bagels heavenly delicious love death,0.963,positive,0.6953125,positive,positive
4,"Easy, convenient, and would order again. The food was packaged tightly and the price was a good deal.  Arrived on time.",easy convenient would order food packaged tightly price good deal arrived time,0.7003,positive,0.31825396825396823,positive,positive
5,I've worked for an organic food company and this is absolutely the best protien suppliment I have ever tried.  When I couldn't get it at the local store I was so thrilled to find it on Amazon.com!  I add it to my morning fruit smoothies to keep me going through the day and to make sure I have the minerals I need.  The E3 blue algae and Maca root make all the difference!  TRY IT!,worked organic food company absolutely best protien suppliment ever tried get local store thrilled find amazon com add morning fruit smoothies keep going day make sure minerals need e blue algae maca root make difference try,0.908,positive,0.4083333333333334,positive,positive
